DateTime,OPEN,HIGH,LOW,CLOSE,VOLUME,VOLUME_AHT,AMOUNT_AHT,AMT,CHG,PCT_CHG,SWING,VWAP
2016-07-12,3201.9062,3273.4738,3200.3034,3273.1823,17253421700,NaN,NaN,1.91E+11,69.8525,2.180622,2.284198,11.061791
2016-07-13,3274.0202,3300.9912,3271.7752,3282.8681,17519609000,NaN,NaN,1.97E+11,9.6858,0.295914,0.892587,11.221272
2016-07-14,3277.4816,3281.9503,3259.0653,3276.7637,10752579800,NaN,NaN,1.28E+11,-6.1044,-0.185947,0.697104,11.912529
2016-07-15,3278.8357,3285.026,3265.2906,3276.2775,10266502600,NaN,NaN,1.25E+11,-0.4862,-0.014838,0.602283,12.193034
2016-07-18,3269.7077,3281.6375,3251.7659,3262.0222,11031251800,NaN,NaN,1.30E+11,-14.2553,-0.435107,0.911754,11.765275
2016-07-19,3260.4349,3264.7303,3226.1987,3248.2341,8888686100,NaN,NaN,1.07E+11,-13.7881,-0.422686,1.181218,12.050027
2016-07-20,3246.8626,3254.5076,3232.2568,3237.6051,7270125500,NaN,NaN,91367448994,-10.629,-0.327224,0.685012,12.56752
2016-07-21,3238.3367,3271.3739,3238.3034,3252.5227,8600482500,NaN,NaN,1.07E+11,14.9176,0.46076,1.021449,12.495121
2016-07-22,3251.242,3253.7694,3220.8937,3225.1621,8602912800,NaN,NaN,1.07E+11,-27.3606,-0.841212,1.010775,12.486107
2016-07-25,3220.1658,3243.7902,3218.1419,3230.885,7020318500,NaN,NaN,92015844035,5.7229,0.177445,0.795256,13.107075
2016-07-26,3228.234,3269.7457,3228.0075,3269.5882,8105108900,NaN,NaN,1.04E+11,38.7032,1.197913,1.29185,12.800046
2016-07-27,3270.0837,3276.5112,3157.4093,3218.243,16018866500,NaN,NaN,1.87E+11,-51.3452,-1.570387,3.642719,11.669263
2016-07-28,3204.4645,3235.7816,3195.2696,3221.1365,11277996400,NaN,NaN,1.37E+11,2.8935,0.089909,1.258824,12.173784
2016-07-29,3217.1923,3225.4184,3198.6839,3203.9304,8804483700,NaN,NaN,1.04E+11,-17.2061,-0.534162,0.829971,11.787975
2016-08-01,3196.425,3199.9751,3156.7488,3176.8091,8700349700,NaN,NaN,98818634361,-27.1213,-0.846501,1.349165,11.358007
2016-08-02,3173.7576,3189.0529,3165.5422,3189.0529,6216763900,NaN,NaN,70640763842,12.2438,0.385412,0.740073,11.362948
2016-08-03,3179.6842,3197.1573,3173.5356,3193.5073,7286410200,NaN,NaN,79754323301,4.4544,0.139678,0.740712,10.945626
2016-08-04,3190.546,3201.5539,3170.4189,3201.2888,7350437300,NaN,NaN,86919591121,7.7815,0.243666,0.974947,11.825091
2016-08-05,3201.3543,3224.873,3192.8614,3205.1101,7719636600,NaN,NaN,94429542391,3.8213,0.119368,0.99996,12.232382
2016-08-08,3199.5723,3234.4795,3187.2521,3234.1833,8667605100,NaN,NaN,1.03E+11,29.0732,0.907089,1.473503,11.841577
2016-08-09,3232.603,3257.3336,3229.1741,3256.9813,9106525900,NaN,NaN,1.06E+11,22.798,0.704907,0.870683,11.631664
2016-08-10,3255.1822,3261.8609,3242.7509,3243.3409,9043037200,NaN,NaN,1.06E+11,-13.6404,-0.418805,0.58674,11.739136
2016-08-11,3239.5583,3274.0261,3232.6127,3233.3604,10104121300,NaN,NaN,1.17E+11,-9.9805,-0.307723,1.276875,11.579053
2016-08-12,3231.8065,3294.2337,3231.1366,3294.2337,11625404400,NaN,NaN,1.29E+11,60.8733,1.882664,1.95144,11.126898
2016-08-15,3303.4688,3417.9147,3302.3776,3393.4239,22054342100,NaN,NaN,2.59E+11,99.1902,3.011025,3.507253,11.73907
2016-08-16,3403.3839,3418.6884,3372.0206,3378.2451,19638974000,NaN,NaN,2.27E+11,-15.1788,-0.4473,1.375242,11.547713
2016-08-17,3377.7713,3394.3887,3356.9244,3373.0476,13884768800,NaN,NaN,1.68E+11,-5.1975,-0.153852,1.108987,12.09365
2016-08-18,3369.9472,3394.7912,3349.6879,3364.4851,14238016900,NaN,NaN,1.72E+11,-8.5625,-0.253851,1.337168,12.098351
2016-08-19,3358.555,3374.045,3341.1922,3365.0197,11996150800,NaN,NaN,1.35E+11,0.5346,0.01589,0.976458,11.285512
2016-08-22,3364.681,3372.8331,3335.4695,3336.7949,10795100800,NaN,NaN,1.28E+11,-28.2248,-0.838771,1.110353,11.875923
2016-08-23,3332.621,3359.6477,3324.9603,3341.8298,9292451600,NaN,NaN,1.09E+11,5.0349,0.15089,1.039542,11.676541
2016-08-24,3341.9304,3348.1291,3323.7251,3329.8631,8119142900,NaN,NaN,94012832200,-11.9667,-0.358088,0.730259,11.579157
2016-08-25,3314.0846,3315.0812,3279.8064,3308.9721,10058915300,NaN,NaN,1.13E+11,-20.891,-0.627383,1.059347,11.191877
2016-08-26,3312.4991,3328.9453,3301.7359,3307.0902,8153069100,NaN,NaN,93213205560,-1.8819,-0.056873,0.822292,11.432898
2016-08-29,3306.5749,3315.0789,3297.0697,3307.7812,7703633300,NaN,NaN,88011642022,0.691,0.020895,0.544563,11.424693
2016-08-30,3310.3188,3325.1218,3304.5966,3311.9872,7572598700,NaN,NaN,89513016667,4.206,0.127155,0.620513,11.820647
2016-08-31,3310.5654,3333.9729,3304.6552,3327.7938,7957080500,NaN,NaN,99215044445,15.8066,0.477254,0.8852,12.468775
2016-09-01,3326.7389,3329.3455,3301.2129,3301.5767,8494721900,NaN,NaN,1.01E+11,-26.2171,-0.787822,0.845383,11.879313
2016-09-02,3298.7217,3320.4252,3295.7554,3314.1142,8279180300,NaN,NaN,99396378584,12.5375,0.379743,0.747213,12.005582
